date,unique_users,tx_count
2025-04-12,5,6
2025-04-13,15,19
2025-04-14,10,10
2025-04-15,20,24
2025-04-16,23,28
2025-04-17,13,14
2025-04-18,8,10
2025-04-19,16,18
2025-04-20,8,9
2025-04-21,12,14
2025-04-22,31,45
2025-04-23,5,10
2025-04-24,17,18
2025-04-25,11,15
2025-04-26,12,21
2025-04-27,5,6
2025-04-28,12,14
2025-04-29,14,42
2025-04-30,9,10
2025-05-01,6,7
2025-05-02,5,6
2025-05-03,8,11
2025-05-04,5,5
2025-05-05,12,14
2025-05-06,9,9
2025-05-07,13,14
2025-05-08,10,11
2025-05-09,30,32
2025-05-10,14,18
2025-05-11,8,9
2025-05-12,14,19
2025-05-13,16,17
2025-05-14,21,25
2025-05-15,11,13
2025-05-16,9,10
2025-05-17,9,9
2025-05-18,13,19
2025-05-19,13,17
2025-05-20,11,16
2025-05-21,8,8
2025-05-22,10,11
2025-05-23,8,9
2025-05-24,17,18
2025-05-25,15,25
2025-05-26,13,22
2025-05-27,8,8
2025-05-28,4,4
2025-05-29,9,10
2025-05-30,4,5
2025-05-31,8,8
2025-06-01,9,11
2025-06-02,9,11
2025-06-03,6,7
2025-06-04,8,9
2025-06-05,13,14
2025-06-06,9,10
2025-06-07,9,9
2025-06-08,12,17
2025-06-09,8,9
2025-06-10,11,12
2025-06-11,13,13
2025-06-12,10,10
2025-06-13,10,10
2025-06-14,11,13
2025-06-15,7,7
2025-06-16,8,12
2025-06-17,4,4
2025-06-18,10,14
2025-06-19,4,6
2025-06-20,7,8
2025-06-21,8,13
2025-06-22,8,10
2025-06-23,7,22
2025-06-24,7,7
2025-06-25,10,12
2025-06-26,12,15
2025-06-27,6,7
2025-06-28,10,11
2025-06-29,14,17
2025-06-30,11,11
2025-07-01,4,4
2025-07-02,7,8
2025-07-03,13,16
2025-07-04,9,133
2025-07-05,18,19
2025-07-06,9,9
2025-07-07,7,7
2025-07-08,8,10
2025-07-09,14,15
2025-07-10,16,20
2025-07-11,14,18